,CIRCUITO,NOMBRE CIRCUITO,PARTIDO,CANTIDAD DE VOTOS,CANTIDAD DE VOTOS POR CIRCUITO,PORCENTAJE DE VOTOS DEL CIRCUITO,CIRCUITO_NUEVO
111,8B,PUEYRREDON,UNIÓN CÍVICA RADICAL,1205,12617,0.09550606325,008B
112,8B,PUEYRREDON,HACEMOS POR CORDOBA,6242,12617,0.4947293334,008B
113,8B,PUEYRREDON,CORDOBA CAMBIA,2958,12617,0.2344455893,008B
114,8C,VILLA LOS PINOS,UNIÓN CÍVICA RADICAL,765,5578,0.1371459304,008C
115,8C,VILLA LOS PINOS,HACEMOS POR CORDOBA,2919,5578,0.5233058444,008C
116,8C,VILLA LOS PINOS,CORDOBA CAMBIA,1052,5578,0.1885980638,008C
117,9,ESCOBAR,UNIÓN CÍVICA RADICAL,310,4095,0.0757020757,0009
118,9,ESCOBAR,HACEMOS POR CORDOBA,1493,4095,0.3645909646,0009
119,9,ESCOBAR,CORDOBA CAMBIA,1447,4095,0.3533577534,0009
120,9A,LA FRANCE,UNIÓN CÍVICA RADICAL,311,3379,0.09203906481,009A
121,9A,LA FRANCE,HACEMOS POR CORDOBA,1460,3379,0.4320804972,009A
122,9A,LA FRANCE,CORDOBA CAMBIA,1026,3379,0.3036401302,009A
123,9B,LAS MARGARITAS,UNIÓN CÍVICA RADICAL,496,5454,0.09094242758,009B
124,9B,LAS MARGARITAS,HACEMOS POR CORDOBA,2199,5454,0.403190319,009B
125,9B,LAS MARGARITAS,CORDOBA CAMBIA,1755,5454,0.3217821782,009B
126,9C,LOS PARAISOS,UNIÓN CÍVICA RADICAL,930,9174,0.1013734467,009C
127,9C,LOS PARAISOS,HACEMOS POR CORDOBA,4779,9174,0.5209287116,009C
128,9C,LOS PARAISOS,CORDOBA CAMBIA,1954,9174,0.2129932418,009C
129,9D,POETA LUGONES,UNIÓN CÍVICA RADICAL,621,6843,0.0907496712,009D
130,9D,POETA LUGONES,HACEMOS POR CORDOBA,2767,6843,0.4043548151,009D
131,9D,POETA LUGONES,CORDOBA CAMBIA,2189,6843,0.3198889376,009D
