"","...1","titulo","eleccion","circuito","candidato","N°","agrupacion","votos","vot valido","vot nulo","total votantes","electores en padron","codigo_circuito","codigo_circuito1"
"66",258,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5D    - MALDONADO","Gobernador y Vicegobernador","A830","FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","161","7.207","246","7.932","11.198","   5D","   5D"
"67",259,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5D    - MALDONADO","Gobernador y Vicegobernador","P238","MOVIMIENTO AVANZADA SOCIALISTA","21","7.207","246","7.932","11.198","   5D","   5D"
"68",260,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5D    - MALDONADO","Gobernador y Vicegobernador","A601","HACEMOS POR CORDOBA","4.911","7.207","246","7.932","11.198","   5D","   5D"
"69",261,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5D    - MALDONADO","Gobernador y Vicegobernador","P57","MOVIMIENTO DE ACCI<U+FFFD>N VECINAL","17","7.207","246","7.932","11.198","   5D","   5D"
"70",262,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5D    - MALDONADO","Gobernador y Vicegobernador","P191","VECINALISMO INDEPENDIENTE","84","7.207","246","7.932","11.198","   5D","   5D"
"71",263,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5D    - MALDONADO","Gobernador y Vicegobernador","P200","PARTIDO UNION CIUDADANA","29","7.207","246","7.932","11.198","   5D","   5D"
"72",264,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5D    - MALDONADO","Gobernador y Vicegobernador","A300","MST - NUEVA IZQUIERDA","73","7.207","246","7.932","11.198","   5D","   5D"
"73",265,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 390   - MONTE LE<U+FFFD>A","Gobernador y Vicegobernador","P22","PARTIDO HUMANISTA","2","342","11","368","567","  390","  390"
"74",266,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 390   - MONTE LE<U+FFFD>A","Gobernador y Vicegobernador","A500","CORDOBA CAMBIA","90","342","11","368","567","  390","  390"
"75",267,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 390   - MONTE LE<U+FFFD>A","Gobernador y Vicegobernador","P217","ENCUENTRO VECINAL C<U+FFFD>RDOBA","6","342","11","368","567","  390","  390"
